Nom_accueil ;type_accueil;code_type_accueil;jour_ouverture;heures_ouverture;complément;adresse_caf_fr;code postal_caf_fr;ville_caf_fr;adresse_google;code postal_ville_google;pays_google;Longitude;Latitude;nom_epci;num_epci;code_com;code_Dept;Nom_Dept;Nom_Reg;
Centre social - Ostricourt;permanence;3;Lundi;De 9h30 à 11h30;Fermé pendant les vacances scolaires;251 Avenue du Maréchal Leclerc;59162;Ostricourt;251 Avenue du Maréchal Leclerc; 59162 Ostricourt; France; 3.029583799999955;50.4581279;CC Pévèle-Carembault;200041960;59452;59;NORD;NORD-PAS-DE-CALAIS;
Centre social Françoise Dolto - Pecquencourt;permanence;3;Jeudi;de 10 h 30 à 12 h 00;Fermeture pendant les vacances scolaires;4 rue Estienne d'Orves;59146;Pecquencourt;4 Rue d'Estienne d'Orves;59146 Pecquencourt; France;3.21601069999997;50.3776085;CC Coeur d'Ostrevent [c.C.C.O.];245901152;59456;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Petite Forêt;permanence;3;Mercredi;de 10h30 à 11h30;Fermé pendant les vacances scolaires;80 rue Jean Jaurès;59494;Petite-Forêt;80 Rue Jean Jaurès; 59494 Petite-Forêt; France; 3.4792204999999967;50.3761838;CA Valenciennes Métropole;245901160;59459;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Prouvy;permanence;3;Mercredi;de 16h15 à 17h15;Fermé pendant les vacances scolaires;rue de la Mairie;59121;Prouvy;Rue de la Mairie; 59121 Prouvy; France; 3.4498016000000007;50.3187108;CA Valenciennes Métropole;245901160;59475;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Quiévrechain;permanence;3;Jeudi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;1 place Roger Salengro;59920;Quiévrechain;1 Place Roger Salengro; 59920 Quiévrechain; France; 3.6704518000000235;50.3951429;CA Valenciennes Métropole;245901160;59484;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Espace Solidarité - Raismes;permanence;3;Mercredi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;rue Roger Claie;59590;Raismes;Boulevard Roger Claie; 59590 Raismes; France; 3.483724299999949;50.3902863;CA de la Porte du Hainaut;200042190;59491;59;NORD;NORD-PAS-DE-CALAIS;
Maison des services - Raismes;permanence;3;Vendredi;de 13h30 à 15h30;Fermé pendant les vacances scolaires;78 D rue Thiers;59590;Raismes;78D Rue Thiers; 59590 Raismes; France; 3.516991800000028;50.4063805;CA de la Porte du Hainaut;200042190;59491;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Roeulx;permanence;3;Mardi;de 8h30 à 10h00;Fermé pendant les vacances scolaires;Place Gilbert Henri;59172;Roeulx;Place Gilbert Henry; 59172 Rœulx; France; 3.33450449999998;50.3069909;CA de la Porte du Hainaut;200042190;59504;59;NORD;NORD-PAS-DE-CALAIS;
Mairie annexe - Roncq;permanence;3;Jeudi;de 14h00 à 17h00 les 1er et 3ème jeudis du mois;Fermé pendant les vacances scolaires;8 rue des Arts;59223;Roncq;8 Rue des Arts; 59223 Roncq; France; 3.121496400000069;50.7530685;Métropole Européenne de Lille;245900410;59508;59;NORD;NORD-PAS-DE-CALAIS;
Agence de Roubaix - Accueil sur rendez-vous;Agence;1;Lundi;de 8h30 à 16h00;;124 boulevard Gambetta;59100;Roubaix;124 Boulevard Gambetta; 59100 Roubaix; France; 3.183282400000053;50.6917662;Métropole Européenne de Lille;245900410;59512;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Roubaix - Quartiers sud - Accueil sur rendez-vous;permanence;3;Vendredi;de 13h30 à 16h30;;188 boulevard de Fourmies;59100;Roubaix;188 Boulevard de Fourmies; 59100 Roubaix; France; 3.185484900000006;50.6734546;Métropole Européenne de Lille;245900410;59512;59;NORD;NORD-PAS-DE-CALAIS;
Maison des services des Trois Ponts - Roubaix - Accueil sur rendez-vous;permanence;3;Lundi - Mardi - Mercredi - Vendredi;de 13h30 à 16h30;Fermé pendant les vacances scolaires;71 avenue de Verdun;59100;Roubaix;71 Avenue de Verdun; 59100 Roubaix; France; 3.2012099999999464;50.6847064;Métropole Européenne de Lille;245900410;59512;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - espace Solidarité - Saint Amand les Eaux;permanence;3;Lundi;de 9h à 12h et de 13h30 à 17h;sauf le dernier lundi matin du mois - Fermé pendant les vacances scolaires;101 rue du faubourg de Tournai;59230;Saint-Amand-les-Eaux;101 Rue du Faubourg de Tournai; 59230 Saint-Amand-les-Eaux; France; 3.4292123000000174;50.4537449;CA de la Porte du Hainaut;200042190;59526;59;NORD;NORD-PAS-DE-CALAIS;
Maison de l'Enfance - Saint Amand les Eaux;permanence;3;Lundi;de 9h00 à 12h00;Le dernier lundi du mois - Fermé pendant les vacances scolaires;rue de la Collinière;59230;Saint-Amand-les-Eaux;Rue de la Collinière; 59230 Saint-Amand-les-Eaux; France; 3.4298149999999623;50.434002;CA de la Porte du Hainaut;200042190;59526;59;NORD;NORD-PAS-DE-CALAIS;
Saint André lez Lille;Antenne;2;Lundi-Mardi-Vendredi;de 8h30 à 16h00 (Lundi 8h30 à 12h30);Fermé pendant les vacances scolaires;12 Place du Général de Gaulle;59350;Saint-André-lez-Lille;12 Place du Général de Gaulle; 59350 Saint-André-lez-Lille; France; 3.051761199999987;50.6621491;Métropole Européenne de Lille;245900410;59527;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Saint Saulve;permanence;3;Mercredi;de 14h00 à 16h30;Fermé pendant les vacances scolaires;140 rue Jean Jaurès;59880;Saint-Saulve;140 Rue Jean Jaurès; 59880 Saint-Saulve; France ; 3.5531424000000698;50.3703085;CA Valenciennes Métropole;245901160;59544;59;NORD;NORD-PAS-DE-CALAIS;
Espace René Char - Sin le Noble;permanence;3;Vendredi;de 14h00 à 16h30;Fermé pendant les vacances scolaires;les couronnes;59450;Sin-le-Noble;Résidence de la Petite Couronne; 59450 Sin-le-Noble; France ; 3.097485000000006;50.344299;CA du Douaisis [c.A.D.];200044618;59569;59;NORD;NORD-PAS-DE-CALAIS;
Ruche Solesmoise - Solesmes;permanence;3;Lundi;de 13h30 à 16h30;Fermé durant les vacances scolaires;5 rue de l'Abbaye;59730;Solesmes;5 Rue de l'Abbaye; 59730 Solesmes; France ; 3.4987277999999833;50.1839923;CC du Pays Solesmois;245901038;59571;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Solre le Château;permanence;3;Jeudi;de 13h30 à 15h30 les 2ème et 4ème jeudis du mois;Fermé pendant les vacances scolaires;35 rue Clairfayts;59740;Solre-le-Château;35 Rue de Clairfayts; 59740 Solre-le-Château; France ; 4.097370100000035;50.1721011;CC Coeur de l'Avesnois;200043263;59572;59;NORD;NORD-PAS-DE-CALAIS;
Pôle service public - Somain;permanence;3;Mercredi;de 8h00 à 12h00 et de 13h00 à 16h30;;6 rue Anatole France;59490;Somain;6 Rue Anatole France; 59490 Somain; France ; 3.2801297999999406;50.3597316;CC Coeur d'Ostrevent [c.C.C.O.];245901152;59574;59;NORD;NORD-PAS-DE-CALAIS;
Somain;permanence;3;Lundi-Mercredi;de 8h à 12h et de 13h à 16h30;Fermé pendant les vacances scolaires;Rue Anatole France;59490;Somain;Rue Anatole France; 59490 Somain; France ; 3.2768756000000394;50.3590844;CC Coeur d'Ostrevent [c.C.C.O.];245901152;59574;59;NORD;NORD-PAS-DE-CALAIS;
Centre social - Steenvoorde;permanence;3;Jeudi;de 14h00 à 16h30;Fermé pendant les vacances scolaires;place Jean-Marie Ryckewaert;59114;Steenvoorde;Place Jean Marie Ryckewaert; 59114 Steenvoorde; France; 2.5776829000000134;50.8096019;CC de Flandre Intérieure;200040947;59580;59;NORD;NORD-PAS-DE-CALAIS;
Antenne de Tourcoing - Accueil sur rendez-vous;Antenne;2;Lundi - Mardi - Mercredi - Vendredi;de 8h30 à 16h00;;20 rue des Carliers;59200;Tourcoing;20 Rue des Carliers; 59200 Tourcoing; France; 3.162058600000023;50.7163244;Métropole Européenne de Lille;245900410;59599;59;NORD;NORD-PAS-DE-CALAIS;
Centre social Bourgogne - Tourcoing;permanence;3;Lundi-Mercredi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;24 avenue Roger Salengro;59200;Tourcoing;24 Avenue Roger Salengro; 59200 Tourcoing; France; 3.179995100000042;50.7396996;Métropole Européenne de Lille;245900410;59599;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Trith Saint Léger;permanence;3;Jeudi;de 14h00 à 15h30 les 2ème et 4ème jeudis du mois;Fermé pendant les vacances scolaires;29 rue Henri Durre;59125;Trith-Saint-Léger;29 Rue Henri Durre; 59125 Trith-Saint-Léger; France; 3.485019999999963;50.3257536;CA de la Porte du Hainaut;200042190;59603;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Trith le Poirier - annexe;permanence;3;Jeudi;de 14h00 à 15h30 les 1er et 3ème jeudis du mois;Fermé pendant les vacances scolaires;rue Bessemer;59125;Trith-Saint-Léger;1 Rue Henri Bessemer;59125 Trith-Saint-Léger; France;3.505623000000014;50.3331267;CA de la Porte du Hainaut;200042190;59603;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Trélon;permanence;3;Mercredi;de 9h00 à 12h00;Fermé pendant les vacances scolaires;1 place Jean Jaurès;59132;Trélon;1 Rue Aristide Briand;59132 Trelon; France;4.103821499999981;50.05913049999999;CC du Sud Avesnois;200043404;59601;59;NORD;NORD-PAS-DE-CALAIS;
Agence de Valenciennes - Accueil sur rendez-vous;Agence;1;Lundi - Mardi - Mercredi - Vendredi;de 8h30 à 16h00;;29 place de la République;59300;Valenciennes;29 Place de la République; 59300 Valenciennes; France; 3.519890700000019;50.3629751;CA Valenciennes Métropole;245901160;59606;59;NORD;NORD-PAS-DE-CALAIS;
Maison du Citoyen - Valenciennes Lomprez;permanence;3;Mercredi;de 8h30 à 10h00;Fermé pendant les vacances scolaires;29 Place de la République;59300;Valenciennes;Rue Lucien Jonas; 59300 Valenciennes; France;3.488819000000035;50.3533421;CA Valenciennes Métropole;245901160;59606;59;NORD;NORD-PAS-DE-CALAIS;
Valenciennes Briquette - Valenciennes;permanence;3;Vendredi;de 8h30 à 10h00;Fermé pendant les vacances scolaires;rue de la Targette;59300;Valenciennes;Rue de la Targette; 59300 Valenciennes; France; 3.5130232000000206;50.3427272;CA Valenciennes Métropole;245901160;59606;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Vieux Condé;permanence;3;Mercredi-Vendredi;de 13h30 à 16h30;Fermé pendant les vacances scolaires;67 rue Victor Hugo;59690;Vieux-Condé;67 Rue Victor Hugo; 59690 Vieux-Condé; France; 3.566907899999933;50.4579324;CA Valenciennes Métropole;245901160;59616;59;NORD;NORD-PAS-DE-CALAIS;
Centre social - Villeneuve d'Ascq;permanence;3;Lundi-Jeudi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;rue des Vétérans;59650;Villeneuve-d'Ascq;Rue des Vétérans; 59650 Villeneuve-d'Ascq; France; 3.130354300000022;50.6235071;Métropole Européenne de Lille;245900410;59009;59;NORD;NORD-PAS-DE-CALAIS;
centre social Corneille - Villeneuve d'Ascq;permanence;3;Jeudi;de 14h00 à 17h00;Fermé pendant les vacances scolaires;47 rue Corneille;59650;Villeneuve-d'Ascq;47 Rue Corneille; 59650 Villeneuve-d'Ascq; France; 3.142631599999959;50.62426689999999;Métropole Européenne de Lille;245900410;59009;59;NORD;NORD-PAS-DE-CALAIS;
CPAM - Villeneuve d'Ascq;permanence;3;Lundi;de 8h30 à 11h30 et de 13h30 à 16h30;Uniquement sur rendez-vous l'après midi - Fermé pendant les vacances scolaires;51 boulevard Valmy;59650;Villeneuve-d'Ascq;51 Boulevard de Valmy; 59650 Villeneuve-d'Ascq; France; 3.13273920000006;50.615797;Métropole Européenne de Lille;245900410;59009;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Villeneuve d'Ascq - annexe de la Cousinerie;permanence;3;Vendredi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;Chemin des Crieurs;59650;Villeneuve-d'Ascq;Chemin des Crieurs; 59650 Villeneuve-d'Ascq; France; 3.154550900000004;50.640862;Métropole Européenne de Lille;245900410;59009;59;NORD;NORD-PAS-DE-CALAIS;
Maison des Genêts - Villeneuve d'Ascq;permanence;3;Mardi-Vendredi;Mardi de 8h30 à 11h30 - Vendredi de 14h00 à 17h00;Fermé pendant les vacances scolaires;2 rue des Genêts;59650;Villeneuve-d'Ascq;2 Rue des Genêts; 59650 Villeneuve-d'Ascq; France; 3.148761499999978;50.6202651;Métropole Européenne de Lille;245900410;59009;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Wallers;permanence;3;Mercredi;de 14h00 à 15h30;Fermé pendant les vacances scolaires;rue Marcel Danna;59135;Wallers;Rue Marcel Danna; 59135 Wallers; France; 3.3912295000000086;50.3731309;CA de la Porte du Hainaut;200042190;59632;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Watten;permanence;3;Vendredi;de 9h00 à 11h30;Fermé pendant les vacances scolaires;rue de la Montagne;59143;Watten;Rue de la Montagne; 59143 Watten; France; 2.2348709999999983;50.83047149999999;CC des Hauts de Flandre;200040954;59647;59;NORD;NORD-PAS-DE-CALAIS;
Wattignies;Antenne;2;Mardi-Vendredi;de 8h30 à 16h00;Fermé pendant les vacances scolaires;16 rue Schweitzer;59139;Wattignies;16 Rue du Dr Schweitzer; 59139 Wattignies; France; 3.0427836999999727;50.58615649999999;Métropole Européenne de Lille;245900410;59648;59;NORD;NORD-PAS-DE-CALAIS;
Mairie - Wattrelos - annexe Beaulieu;permanence;3;Mardi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;94 rue Léon Blum;59150;Wattrelos;94 Rue Léon Blum; 59150 Wattrelos; France; 3.236335800000006;50.7039103;Métropole Européenne de Lille;245900410;59650;59;NORD;NORD-PAS-DE-CALAIS;
CCAS Mairie - Waziers;permanence;3;Mercredi;de 15h30 à 17h00;Fermé pendant les vacances scolaires;2 place André Bordeu;59119;Waziers;2 Place André Bordeu; 59119 Waziers; France; 3.1100774999999885;50.3855628;CA du Douaisis [c.A.D.];200044618;59654;59;NORD;NORD-PAS-DE-CALAIS;
CCAS - Wignehies;permanence;3;Jeudi;de 13h30 à 15h30;1er et 3ème jeudis du mois - Fermé pendant les vacances scolaires;12 place François Mitterrand;59212;Wignehies;12 Place François Mitterrand; 59212 Wignehies; France; 4.003880500000037;50.014846;CC du Sud Avesnois;200043404;59659;59;NORD;NORD-PAS-DE-CALAIS;
Centre social Marissel - Wormhout;permanence;3;Mercredi;de 9h00 à 11h00;Fermé pendant les vacances scolaires;47 place du Général de Gaulle;59470;Wormhout;47 Place du Gén de Gaulle; 59470 Wormhout; France; 2.4675832000000355;50.8826597;CC des Hauts de Flandre;200040954;59663;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Lille;Mairie;4;Lundi - Mardi - Mercredi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59800;Lille;Place Augustin-Laurent, CS 30667;59800 Lille; France;3.0714719999999716;50.630542;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Roubaix;Mairie;4;Mercredi-Vendredi;de 13h30 à 16h30;Fermé pendant les vacances scolaires;;59100;Roubaix;17 Grand'place, BP 737;59100 Roubaix; France;3.17401760000007;50.6910025;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Tourcoing;Mairie;4;Lundi-Jeudi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;;59200;Tourcoing;10 Place Victor-Hassebroucq;59200 Tourcoing; France;3.160913800000003;50.72334619999999;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Dunkerque;Mairie;4;Jeudi;de 14h00 à 17h00;Fermé pendant les vacances scolaires;;59140;Dunkerque;Place Charles-Valentin;59140 Dunkerque; France;2.3769922999999835;51.0376619;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Villeneuve-d'Ascq;Mairie;4;Lundi;de 8h30 à 11h30 et de 13h30 à 16h30;Uniquement sur rendez-vous l'après midi - Fermé pendant les vacances scolaires;;59650;Villeneuve-d'Ascq;Place Salvador Allende,BP 80089;59650 Villeneuve-d'Ascq; France;3.182431700000052;50.6693001;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Valenciennes;Mairie;4;Vendredi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;;59300;Valenciennes;Place d'Armes, BP 90339;59300 Valenciennes; France;3.5233037000000422;50.3579917;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Douai;Mairie;4;Mardi-Vendredi;Mardi de 8h30 à 11h30 - Vendredi de 14h00 à 17h00;Fermé pendant les vacances scolaires;;59508;Douai;Rue de la Mairie, BP 80836;59508 Douai; France;3.0799349999999777;50.368088;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Wattrelos;Mairie;4;Mercredi;de 14h00 à 15h30;Fermé pendant les vacances scolaires;;59150;Wattrelos;Place Jean Delvainquière;59150 Wattrelos; France;3.2148654999999735;50.7015657;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Marcq-en-Baroeul;Mairie;4;Vendredi;de 9h00 à 11h30;Fermé pendant les vacances scolaires;;59700;Marcq-en-Baroeul;103 Avenue Foch;59700 Marcq-en-Baroeul; France;3.094118999999978;50.67409319999999;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Cambrai;Mairie;4;Mardi-Vendredi;de 8h30 à 16h00;Fermé pendant les vacances scolaires;;59400;Cambrai;2 Rue de Nice, BP 409;59400 Cambrai; France;3.2349378000000115;50.1771134;;;;59;NORD;NORD-PAS-DE-CALAIS;
Mairie de Maubeuge;Mairie;4;Mardi;de 8h30 à 11h30;Fermé pendant les vacances scolaires;;59600;Maubeuge;Place du Docteur pierre Forest, BP 80269;59600 Maubeuge; France;3.967416299999968;50.2800073;;;;59;NORD;NORD-PAS-DE-CALAIS;
Agence CPAM de Calais;CPAM;5;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;62100;Calais;35 Rue Descartes;62100 Calais; France;1.8604665000000296;50.9535816;;;;59;NORD;NORD-PAS-DE-CALAIS;
Agence CPAM de Lille;CPAM;5;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59000;Lille;2 rue d'Iéna;59000 Lille; France;3.052895600000056;50.6227661;;;;59;NORD;NORD-PAS-DE-CALAIS;
Agence CPAM de Amiens;CPAM;5;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;80000;Amiens;181 Rue du Faubourg de Hem;80000 Amiens; France;2.2756343999999444;49.9025645;;;;59;NORD;NORD-PAS-DE-CALAIS;
Agence CPAM de Roubaix;CPAM;5;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59100;Roubaix;6 rue Rémy Cogghe;59100 Roubaix; France;3.167593600000032;50.69016149999999;;;;59;NORD;NORD-PAS-DE-CALAIS;
Agence CPAM de Tourcoing;CPAM;5;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59200;Tourcoing;2 Place Sébastopol;59200 Tourcoing; France;3.162000300000045;50.7174373;;;;59;NORD;NORD-PAS-DE-CALAIS;
Agence CPAM de Dunkerque;CPAM;5;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59140;Dunkerque;2 Rue de la Batellerie;59140 Dunkerque; France;2.363940599999978;51.029231;;;;59;NORD;NORD-PAS-DE-CALAIS;
Centre des impôts : Maubeuge;Centre des impots;6;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59607;Maubeuge;Rue Ancien-Pont-Rouge BP 50500;59607 Maubeuge; France;2.287592000000018;48.862725;;;;59;NORD;NORD-PAS-DE-CALAIS;
Centre des impôts : CAMBRAI;Centre des impots;6;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59409;CAMBRAI;1 RUE DE LA PAIX DE NIMEGUE;59409 CAMBRAI; France;3.24295630000006;50.17180159999999;;;;59;NORD;NORD-PAS-DE-CALAIS;
Centre des impôts : Denain;Centre des impots;6;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59723;Denain;Boulevard du 8-Mai-1945 BP 70233;59723 Denain; France;3.395984099999964;50.3235094;;;;59;NORD;NORD-PAS-DE-CALAIS;
Centre des impôts : Lille;Centre des impots;6;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h15 et de 13h15 à 16h;;;59045;Lille;5, rue Pierre-Legrand;59045 Lille; France;3.0843174000000317;50.632807;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Calais - Mollien;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;62100;Calais;66 Rue Mollien;62100 Calais; France;1.863055499999973;50.955343;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Calais - St Exupéry;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;62100;Calais;60 Avenue Antoine de Saint Exupery;62100 Calais; France;1.8938305000000355;50.9462814;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Dunkerque - Bazennes;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;59140;Dunkerque;19 Rue des Bazennes;59140 Dunkerque; France;2.3794809999999416;51.04131479999999;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Tourcoing - Centre;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;59200;Tourcoing;64 avenue alfred lefrancois;59200 Tourcoing; France;3.1690189999999347;50.717187;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Roubaix - Centre;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;59100;Roubaix;74 Grande Rue;59100 Roubaix; France;3.1801829999999427;50.6919179;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Roubaix - Les Prés;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;59100;Roubaix;30 Boulevard de Mulhouse;59100 Roubaix; France;3.193460400000049;50.6848958;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi d'Amiens - Millevoye;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;80000;Amiens;21 Rue Millevoye;80000 Amiens; France;2.2968080000000555;49.8868557;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi d'Amiens - Dury;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;80000;Amiens;1 Place des Magnolias;80000 Amiens; France;2.278054099999963;49.8603712;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi d'Amiens - Tellier;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;80000;Amiens;Rue Paul Tellier;80000 Amiens; France;2.309408200000007;49.8909139;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Lille - Fives;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;59000;Lille;21 Rue de Vaucanson;59000 Lille; France;3.09393620000003;50.6297888;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Lille - Capinghem;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;59000;Lille;17 rue du chemin saint martin;59000 Lille; France;2.975058499999932;50.64115839999999;;;;59;NORD;NORD-PAS-DE-CALAIS;
Pôle Emploi de Lille - Fluvial;Pole emploi;7;Lundi - Mardi - Mercredi - Jeudi - Vendredi;de 8h30 à 12h45;;;59000;Lille;43 Boulevard de la Moselle;59000 Lille; France;3.032479500000022;50.627086;;;;59;NORD;NORD-PAS-DE-CALAIS;
